SampleID,Experiment,Compartment,Genotype
4_SR6,4,Root,symrk
4_NRh4,4,Rhizosphere,nfr5
4_NRh2,4,Rhizosphere,nfr5
4_RRh4,4,Rhizosphere,ram1
4_SRh7,4,Rhizosphere,symrk
4_RR8,4,Root,ram1
4_S3,4,Soil,Soil
4_CRh5,4,Rhizosphere,ccamk
4_SR2,4,Root,symrk
4_RRh2,4,Rhizosphere,ram1
4_GR3,4,Root,Gifu
4_S5,4,Soil,Soil
4_GRh1,4,Rhizosphere,Gifu
4_CRh6,4,Rhizosphere,ccamk
4_GRh7,4,Rhizosphere,Gifu
4_S2,4,Soil,Soil
4_NRh3,4,Rhizosphere,nfr5
4_S4,4,Soil,Soil
4_GRh6,4,Rhizosphere,Gifu
4_GRh5,4,Rhizosphere,Gifu
4_RRh8,4,Rhizosphere,ram1
4_SR5,4,Root,symrk
4_SR1,4,Root,symrk
4_S1,4,Soil,Soil
4_CR3,4,Root,ccamk
4_SR8,4,Root,symrk
4_CR7,4,Root,ccamk
4_GR2,4,Root,Gifu
4_SRh1,4,Rhizosphere,symrk
4_CRh1,4,Rhizosphere,ccamk
4_SR3,4,Root,symrk
4_RRh6,4,Rhizosphere,ram1
4_GR4,4,Root,Gifu
4_NR5,4,Root,nfr5
4_CRh7,4,Rhizosphere,ccamk
4_CR2,4,Root,ccamk
4_CRh3,4,Rhizosphere,ccamk
4_RRh5,4,Rhizosphere,ram1
4_RRh7,4,Rhizosphere,ram1
4_CR1,4,Root,ccamk
4_RR3,4,Root,ram1
4_RR5,4,Root,ram1
4_SRh2,4,Rhizosphere,symrk
4_GR6,4,Root,Gifu
4_SRh3,4,Rhizosphere,symrk
4_SRh5,4,Rhizosphere,symrk
4_RRh3,4,Rhizosphere,ram1
4_NR2,4,Root,nfr5
4_RR4,4,Root,ram1
4_GRh4,4,Rhizosphere,Gifu
4_S6,4,Soil,Soil
4_SRh6,4,Rhizosphere,symrk
4_NR1,4,Root,nfr5
4_SRh8,4,Rhizosphere,symrk
4_GRh2,4,Rhizosphere,Gifu
4_GRh3,4,Rhizosphere,Gifu
4_RR2,4,Root,ram1
4_CR4,4,Root,ccamk
4_S7,4,Soil,Soil
4_GR5,4,Root,Gifu
4_S8,4,Soil,Soil
4_RR7,4,Root,ram1
4_RR6,4,Root,ram1
4_SRh4,4,Rhizosphere,symrk
4_RR1,4,Root,ram1
4_GR7,4,Root,Gifu
4_NR3,4,Root,nfr5
4_CRh2,4,Rhizosphere,ccamk
4_CR5,4,Root,ccamk
4_CR8,4,Root,ccamk
